Hand,OpponentRange,Weight,Combos,CurrentBoard,Player,SelectedActions,Equity,EV,EQR
AsAh,2d2c,0.672299,231.943,Js 8s 6d,oop,Bet 6,0.832518,30.8452,1.42502
AsAd,2h2c,0.617761,213.128,,,,0.834362,30.8854,1.42372
AhAd,2s2c,0.482085,166.319,,,,0.801079,29.0519,1.39484
AsAc,Ac2c,0.672299,231.943,,,,0.832518,30.8452,1.42502
AhAc,2h2d,0.471681,162.73,,,,0.799234,29.0411,1.39754
AdAc,2s2d,0.482085,166.319,,,,0.801079,29.0519,1.39484
AsKs,Ad2d,0.658284,242.248,,,,0.669443,24.2615,1.3939
AhKh,2s2h,0.250574,91.9608,,,,0.447586,10.4767,0.900271
AdKd,Ah2h,0.199123,73.2773,,,,0.475721,12.1309,0.980768
AcKc,As2s,0.250574,91.9608,,,,0.447586,10.4767,0.900271
AsQs,3d3c,0.468544,172.424,,,,0.658445,23.7071,1.3848
AhQh,3h3c,0.200617,73.6263,,,,0.433865,9.83058,0.871468
AcQc,3s3c,0.200617,73.6263,,,,0.433865,9.83058,0.871468
AhJh,Ac3c,0.501986,185.735,,,,0.757176,24.2774,1.2332
AdJd,Ad3c,0.903878,334.435,,,,0.770841,25.608,1.27773
AcJc,Ah3c,0.501986,185.735,,,,0.757176,24.2774,1.2332
AsTs,As3c,0.493769,181.707,,,,0.636941,23.3587,1.41051
AhTh,3h3d,0.190183,69.7972,,,,0.40469,9.22883,0.877104
AdTd,3s3d,0.108406,39.7848,,,,0.434005,10.7648,0.953981
AcTc,Ac3d,0.190183,69.7972,,,,0.40469,9.22883,0.877104
As9s,Ad3d,0.540054,201.98,,,,0.61943,22.9219,1.42327
Ah9h,Ah3d,0.360148,134.335,,,,0.380002,9.00679,0.911613
Ad9d,As3d,0.34723,129.517,,,,0.410052,10.4198,0.977341
Ac9c,3s3h,0.360148,134.335,,,,0.380002,9.00679,0.911613
Ah8h,Ac3h,0.510157,189.778,,,,0.62992,17.3767,1.06098
Ad8d,Ad3h,0.672799,250.281,,,,0.649504,18.9093,1.11974
Ac8c,Ah3h,0.510157,189.778,,,,0.62992,17.3767,1.06098
As7s,As3h,0.800847,300.318,,,,0.588089,22.3889,1.46426
Ah7h,Ac3s,0.289246,108.467,,,,0.334092,8.58813,0.988689
Ad7d,Ad3s,0.656064,246.024,,,,0.365601,9.85963,1.03724
Ac7c,Ah3s,0.289246,108.467,,,,0.334092,8.58813,0.988689
As6s,As3s,0.655177,245.036,,,,0.732412,27.3326,1.43533
Ah6h,4d4c,0.147796,55.2756,,,,0.541443,13.6341,0.968505
Ac6c,4h4c,0.147796,55.2756,,,,0.541443,13.6341,0.968505
As5s,4s4c,0.718137,270.738,,,,0.560055,21.6697,1.48815
Ad5d,5c4c,0.679822,256.293,,,,0.325325,9.12941,1.07933
As4s,Ac4c,0.736672,281.409,,,,0.551674,21.4233,1.49359
Ad4d,Ad4c,0.586468,224.031,,,,0.313051,8.84199,1.08633
AsKh,Ah4c,0.573638,210.525,,,,0.488907,12.741,1.00232
AsKd,As4c,0.739615,272.178,,,,0.489386,12.8121,1.00692
AsKc,4h4d,0.573638,210.525,,,,0.488907,12.741,1.00232
AhKs,4s4d,0.435951,160.43,,,,0.482149,12.2161,0.974488
AhKd,5d4d,0.406338,149.532,,,,0.448059,10.5691,0.907251
AhKc,Ac4d,0.249783,91.6702,,,,0.447586,10.4766,0.900264
AdKs,Ad4d,0.535824,197.183,,,,0.483682,12.2933,0.977544
AdKh,Ah4d,0.376534,138.188,,,,0.449123,10.5753,0.905638
AdKc,As4d,0.376534,138.188,,,,0.449123,10.5753,0.905638
AcKs,4s4h,0.435951,160.43,,,,0.482149,12.2161,0.974488
AcKh,5h4h,0.249783,91.6702,,,,0.447586,10.4766,0.900264
AcKd,Ac4h,0.406338,149.532,,,,0.448059,10.5691,0.907251
AsQh,Ad4h,0.497335,182.522,,,,0.47477,12.0664,0.977508
AsQd,Ah4h,0.600426,220.957,,,,0.475236,12.1375,0.982308
AsQc,As4h,0.497335,182.522,,,,0.47477,12.0664,0.977508
AhQs,5s4s,0.088516,32.574,,,,0.466329,11.356,0.936608
AhQd,Ac4s,0.342424,126.012,,,,0.434326,9.89163,0.87595
AhQc,Ad4s,0.199163,73.0927,,,,0.433865,9.83053,0.871464
AdQs,Ah4s,0.267875,98.5782,,,,0.467777,11.4157,0.938625
AdQh,As4s,0.31119,114.207,,,,0.435316,9.93602,0.877878
AdQc,5d5c,0.31119,114.207,,,,0.435316,9.93602,0.877878
AcQs,5h5c,0.088516,32.574,,,,0.466329,11.356,0.936608
AcQh,5s5c,0.199163,73.0927,,,,0.433865,9.83053,0.871464
AcQd,6c5c,0.342424,126.012,,,,0.434326,9.89163,0.87595
AsJh,6h5c,0.820479,303.577,,,,0.791241,26.2002,1.27357
AsJd,6s5c,0.845604,312.873,,,,0.792329,26.312,1.27725
AsJc,Qc5c,0.820479,303.577,,,,0.791241,26.2002,1.27357
AhJd,Kc5c,0.484133,179.129,,,,0.758264,24.3774,1.2365
AhJc,Ac5c,0.501589,185.588,,,,0.757176,24.2777,1.23321
AdJh,Ad5c,0.424712,157.143,,,,0.758851,24.2792,1.23057
AdJc,Ah5c,0.424712,157.143,,,,0.758851,24.2792,1.23057
AcJh,As5c,0.501589,185.588,,,,0.757176,24.2777,1.23321
AcJd,5h5d,0.484133,179.129,,,,0.758264,24.3774,1.2365
AsTh,5s5d,0.59772,219.363,,,,0.445518,11.5228,0.994765
AsTd,6c5d,0.764041,280.403,,,,0.44639,11.6061,0.999997
AsTc,6h5d,0.59772,219.363,,,,0.445518,11.5228,0.994765
AhTs,6s5d,0.327266,120.434,,,,0.434024,10.4293,0.924209
AhTd,Qd5d,0.284968,104.583,,,,0.405562,9.31891,0.883759
AhTc,Kd5d,0.190341,69.8553,,,,0.40469,9.22928,0.877147
AdTs,Ac5d,0.539771,198.636,,,,0.435348,10.5343,0.930672
AdTh,Ad5d,0.133155,48.8679,,,,0.406018,9.37865,0.888427
AdTc,Ah5d,0.133155,48.8679,,,,0.406018,9.37865,0.888427
AcTs,As5d,0.327266,120.434,,,,0.434024,10.4293,0.924209
AcTh,5s5h,0.190341,69.8553,,,,0.40469,9.22928,0.877147
AcTd,6c5h,0.284968,104.583,,,,0.405562,9.31891,0.883759
KsKh,6h5h,0.884048,344.779,,,,0.787683,27.3138,1.3337
KsKd,6s5h,0.890517,348.192,,,,0.789366,27.3494,1.33259
KhKd,Qh5h,0.721613,281.429,,,,0.762244,25.6004,1.29175
KsKc,Kh5h,0.884048,344.779,,,,0.787683,27.3138,1.3337
KhKc,Ac5h,0.837135,325.645,,,,0.760511,25.5755,1.29344
KdKc,Ad5h,0.721613,281.429,,,,0.762244,25.6004,1.29175
KsQs,Ah5h,0.599563,234.429,,,,0.557648,21.96,1.51461
KhQh,As5h,0.658231,256.052,,,,0.291057,9.43719,1.24707
KdQd,6c5s,0.612172,239.359,,,,0.325925,10.8981,1.28606
KcQc,6h5s,0.658231,256.052,,,,0.291057,9.43719,1.24707
KhJh,6s5s,0.731748,286.845,,,,0.726123,22.6555,1.20003
KdJd,Qs5s,0.999835,392.935,,,,0.74108,24.0079,1.24599
KcJc,Ks5s,0.731748,286.845,,,,0.726123,22.6555,1.20003
KsTs,Ac5s,0.823491,321.985,,,,0.541563,22.0441,1.56556
KhTh,Ad5s,0.596286,231.955,,,,0.269694,9.51303,1.35667
KdTd,Ah5s,0.871188,339.763,,,,0.305104,10.9076,1.37502
KcTc,As5s,0.596286,231.955,,,,0.269694,9.51303,1.35667
Ks9s,6h6c,0.687709,273.021,,,,0.531384,21.7649,1.57534
Kh9h,6s6c,0.456406,180.28,,,,0.256155,9.37852,1.40818
Kd9d,7c6c,0.965587,382.372,,,,0.291807,10.6803,1.40772
