Hand,OpponentRange,Weight,Combos,CurrentBoard,Player,SelectedActions,Equity,EV,EQR,Raise 36 %,Raise 36 EV,Call %,Call EV,Fold %,Fold EV
AsKs,6h6d,1,31.7647,Td 6c 4s Ah,ip,Bet 6;Call;Bet 10,0.729026,30.4764,1.30638,0.086044,30.5008,0.913956,30.4741,0,0
AdKd,6s6d,1,33.3287,,,,0.711117,29.1177,1.27957,0.07699,29.1179,0.92301,29.1176,0,0
AcKc,6s6h,1,31.6991,,,,0.728902,30.4497,1.30546,0.088356,30.4503,0.911644,30.4496,0,0
AsQs,7d7c,1,32.9236,,,,0.62822,22.2991,1.10924,0,19.6072,1,22.2991,0,0
AdQd,7h7c,1,34.5202,,,,0.611085,20.9999,1.07391,0,18.4226,1,20.9999,0,0
AcQc,7s7c,1,32.8424,,,,0.628984,22.3445,1.11015,0,19.7797,1,22.3445,0,0
AsJs,7h7d,0.988401,32.25,,,,0.535724,15.1809,0.885539,0,10.2793,1,15.1809,0,0
AdJd,7s7d,0.991549,33.9002,,,,0.518331,13.95,0.841043,0,8.98936,1,13.95,0,0
AcJc,7s7h,0.994308,32.328,,,,0.536831,15.29,0.89006,0,10.4498,1,15.29,0,0
AsTs,8d8c,0.801452,27.5055,,,,0.837025,45.6094,1.70281,0.999979,45.6094,0.000021,45.1541,0,0
AcTc,8h8c,0.820288,28.07,,,,0.836996,44.8232,1.67351,0.999962,44.8232,0.000038,44.4634,0,0
As9s,8s8c,0.267502,9.46643,,,,0.500254,12.8844,0.804864,0,6.4645,1,12.8844,0,0
Ad9d,8h8d,0.184725,6.83597,,,,0.480647,11.4745,0.746031,0,4.78615,1,11.4745,0,0
Ac9c,8s8d,0.300016,10.5872,,,,0.501393,13.018,0.811362,0,6.67165,1,13.018,0,0
As8s,8s8h,0.592342,20.0876,,,,0.471817,10.9744,0.726869,0,4.16985,1,10.9744,0,0
Ad8d,9d9c,0.552149,19.6134,,,,0.451682,9.63592,0.666669,0,2.31973,1,9.63592,0,0
Ac8c,9s9c,0.604691,20.4574,,,,0.473239,11.1085,0.733545,0,4.45014,1,11.1085,0,0
As7s,Ac9c,0.614787,20.7596,,,,0.469744,10.6071,0.705643,0,4.0159,1,10.6071,0,0
Ad7d,9s9d,0.591742,20.9608,,,,0.450295,9.34182,0.648313,0,2.18708,1,9.34182,0,0
Ac7c,Ad9d,0.632066,21.3775,,,,0.473193,11.0046,0.726754,0,4.44335,1,11.0046,0,0
As6s,As9s,0.999792,33.913,,,,0.803705,40.6098,1.57901,0.152866,40.606,0.847134,40.6105,0,0
Ad6d,ThTc,1,35.5505,,,,0.783821,37.6948,1.50284,0.098993,37.6954,0.901006,37.6947,0,0
As5s,TsTc,0.513789,18.186,,,,0.491056,12.2033,0.776595,0,5.68857,1,12.2033,0,0
Ad5d,AcTc,0.538148,19.9176,,,,0.470971,10.7403,0.712643,0,3.86793,1,10.7403,0,0
Ac5c,TsTh,0.534288,18.8593,,,,0.492231,12.3153,0.781853,0,5.91505,1,12.3153,0,0
Ad4d,AsTs,1,37.0114,,,,0.73173,32.3219,1.38037,0,31.0393,1,32.3219,0,0
