Hand,OpponentRange,Weight,Combos,CurrentBoard,Player,SelectedActions,Equity,EV,EQR
AsAd,2d2c,0.685903,100.394,Td 6c 4s Ah,oop,Bet 6;Call;Bet 10,0.987212,57.8236,1.39459
AsAc,2h2c,0.679879,99.439,,,,0.987202,57.6531,1.39049
AdAc,2s2c,0.695317,101.013,,,,0.987116,57.5974,1.38927
AsKs,Ac2c,0.602938,92.8456,,,,0.83757,40.0764,1.13925
AdKd,2h2d,0.600391,91.8499,,,,0.842297,40.4113,1.14232
AcKc,2s2d,0.586834,90.3736,,,,0.842368,40.3965,1.14181
AsQs,Ad2d,0.312214,47.5033,,,,0.789604,36.0238,1.08625
AdQd,2s2h,0.313337,47.4064,,,,0.794202,36.2987,1.08821
AcQc,As2s,0.322068,48.6392,,,,0.793319,36.3033,1.08956
AsJs,3d3c,0.278347,43.4441,,,,0.760812,34.1673,1.06926
AdJd,3h3c,0.267483,41.4839,,,,0.76507,34.441,1.07183
AcJc,3s3c,0.269286,41.7458,,,,0.764289,34.437,1.0728
AsTs,Ac3c,0.984842,146.982,,,,0.944278,53.4618,1.34801
AcTc,3h3d,0.980528,145.273,,,,0.944165,53.2417,1.34263
As9s,3s3d,0.493836,78.192,,,,0.746919,33.6331,1.07212
Ad9d,Ad3d,0.406993,64.3362,,,,0.752034,33.9669,1.0754
Ac9c,3s3h,0.497555,78.1879,,,,0.750447,33.9121,1.07593
AsKh,As3s,0.586736,90.8086,,,,0.838503,40.0924,1.13843
AsKd,5c4c,0.618677,95.2558,,,,0.837523,40.0649,1.13899
AsKc,Ac4c,0.631515,97.9432,,,,0.838328,40.0922,1.13867
AdKs,5d4d,0.559737,85.6427,,,,0.842344,40.4236,1.14261
AdKh,Ad4d,0.508292,78.1681,,,,0.843258,40.4333,1.14164
AdKc,5h4h,0.558578,86.082,,,,0.843072,40.4392,1.14206
AcKs,5d5c,0.655204,100.179,,,,0.841634,40.3752,1.1422
AcKh,5h5c,0.60099,92.3592,,,,0.842553,40.3903,1.14138
AcKd,5s5c,0.630418,96.376,,,,0.841587,40.3659,1.142
AsQh,Ac5c,0.409371,62.9523,,,,0.791747,36.1042,1.08573
AsQd,5h5d,0.518221,78.9117,,,,0.789659,36.0157,1.08593
AsQc,5s5d,0.544701,82.8552,,,,0.789574,36.0225,1.08625
AdQs,6d5d,0.488087,73.7824,,,,0.794159,36.3052,1.08846
AdQh,Ad5d,0.350521,53.5601,,,,0.796254,36.3837,1.08794
AdQc,5s5h,0.48904,73.9079,,,,0.794129,36.305,1.08849
AcQs,6h5h,0.566873,85.6301,,,,0.793354,36.3023,1.08948
AcQh,6s5s,0.404215,61.72,,,,0.79546,36.3789,1.08888
AcQd,As5s,0.550175,83.1721,,,,0.793421,36.2956,1.08918
