Hand,OpponentRange,Weight,Combos,CurrentBoard,Player,SelectedActions,Equity,EV,EQR,Allin 84 %,Allin 84 EV,Call %,Call EV,Fold %,Fold EV
AsAh,4d4c,0.388351,8.87515,Ks Qh 7c Qs 9s,ip,Bet 6;Call;Bet 10;Call;Bet 16,0.482603,24.5387,0.977817,0,-2.496765,1,24.5387,0,0
AsAd,4h4c,0.188872,4.39522,,,,0.49092,25.2373,0.988619,0,-1.188641,1,25.2373,0,0
AhAd,4s4c,0.232929,5.91159,,,,0.449065,21.7215,0.930201,0,-2.882267,1,21.7215,0,0
AsAc,Ac4c,0.407518,9.20819,,,,0.486058,24.8289,0.982349,0,-1.896271,1,24.8289,0,0
AhAc,4h4d,0.435378,10.7325,,,,0.443352,21.2416,0.921371,0,-3.691763,1,21.2416,0,0
AdAc,4s4d,0.263268,6.611,,,,0.451809,21.952,0.934362,0,-2.371782,1,21.952,0,0
AhKh,Ad4d,0.767385,18.9624,,,,0.365674,14.7166,0.773945,0,0.206316,1,14.7166,0,0
AdKd,4s4h,0.885266,22.4144,,,,0.367152,14.8408,0.777333,0,0.765564,1,14.8408,0,0
AcKc,Ah4h,0.689839,17.0098,,,,0.365501,14.7021,0.773549,0,0.788916,1,14.7021,0,0
AdQd,As4s,0.17899,4.46112,,,,0.715976,44.142,1.18563,0,43.2813,1,44.142,0,0
AcQc,5d5c,0.128731,3.1485,,,,0.715771,44.1235,1.18547,0.015865,44.0409,0.984135,44.1248,0,0
AsJs,5h5c,0.999963,25.3413,,,,0.740289,46.1843,1.19975,0,42.2433,1,46.1843,0,0
AhJh,5s5c,0.949909,26.4468,,,,0.065572,0,0,0,-5.363415,0,-10.491928,1,0
AdJd,Ac5c,0.738558,21.1073,,,,0.068031,0,0,0,-4.765661,0,-10.285378,1,0
AcJc,5h5d,0.853642,23.1671,,,,0.064675,0,0,0,-5.068441,0,-10.567261,1,0
AsTs,5s5d,0.846574,22.5579,,,,0.752997,47.2518,1.20676,0,44.9301,1,47.2518,0,0
AhTh,Ad5d,0.029886,0.869654,,,,0.030913,0,0,0,-5.562447,0,-13.403278,1,0
AcTc,5s5h,0.00612,0.174989,,,,0.027759,0,0,0,-4.942198,0,-13.668266,1,0
As8s,Ah5h,0.663327,18.0962,,,,0.745399,46.6135,1.2026,0,43.4383,1,46.6135,0,0
As7s,As5s,1,27.281,,,,0.745399,46.6135,1.2026,0,43.4383,1,46.6135,0,0
Ah7h,As6s,1,29.5358,,,,0.193875,0.27823,0.027598,0,-4.832155,0.974471,0.285519,0.025529,0
Ad7d,As8s,1,30.0242,,,,0.192797,0.174996,0.017455,0,-4.070213,0.897647,0.19495,0.102353,0
As6s,Qc9c,0.092027,2.51058,,,,0.745399,46.6135,1.2026,0,43.4383,1,46.6135,0,0
As5s,JcTc,0.001939,0.052525,,,,0.743641,46.4658,1.20162,0,43.2687,1,46.4658,0,0
As3s,QcTc,0.034704,0.946746,,,,0.745399,46.6135,1.2026,0,43.4383,1,46.6135,0,0
As2s,AdTc,0.035187,0.959945,,,,0.745399,46.6135,1.2026,0,43.4383,1,46.6135,0,0
AsKh,AsTc,0.996212,22.0851,,,,0.403169,17.8662,0.8522,0,2.5941,1,17.8662,0,0
AsKd,JdTd,0.895758,20.2777,,,,0.404207,17.9534,0.85416,0,3.01664,1,17.9534,0,0
AsKc,QdTd,0.962833,21.4638,,,,0.399247,17.5367,0.844702,0,2.3524,1,17.5367,0,0
AhKd,AdTd,0.99586,24.7187,,,,0.365394,14.6931,0.7733,0,-0.231678,1,14.6931,0,0
AhKc,AsTd,0.980407,24.015,,,,0.360435,14.2766,0.761716,0,-0.851843,1,14.2766,0,0
AdKh,JhTh,0.940539,23.3852,,,,0.365596,14.71,0.773765,0,0.369968,1,14.71,0,0
AdKc,AdTh,0.934512,23.3536,,,,0.3623,14.4332,0.76611,0,0.165745,1,14.4332,0,0
AcKh,AsTh,0.998359,24.0503,,,,0.366456,14.7823,0.775742,0,-0.095015,1,14.7823,0,0
AcKd,JsTs,0.994214,24.3963,,,,0.368006,14.9125,0.779277,0,0.30085,1,14.9125,0,0
AsQd,AcTs,0.290335,6.43302,,,,0.77503,49.1026,1.21838,0,48.098,1,49.1026,0,0
AsQc,AdTs,0.224302,4.96171,,,,0.782607,49.7454,1.22238,0.053382,49.8585,0.946618,49.739,0,0
AhQd,AhTs,0.162985,3.9815,,,,0.710531,43.6846,1.18234,0,42.5976,1,43.6846,0,0
AhQc,AsTs,0.147336,3.60146,,,,0.716846,44.2139,1.18612,0.017566,44.1475,0.982434,44.2151,0,0
AdQc,QcJc,0.172695,4.30302,,,,0.722359,44.6999,1.19001,0.157014,44.8167,0.842986,44.6782,0,0
AcQd,QdJc,0.12459,3.00347,,,,0.712379,43.8398,1.18346,0,42.7218,1,43.8398,0,0
AsJh,KcJc,0.777383,19.9422,,,,0.068727,0,0,0,-2.528425,0,-10.226963,1,0
AsJd,AcJc,0.686804,17.7502,,,,0.067457,0,0,0,-2.947777,0,-10.333633,1,0
AsJc,AdJc,0.779934,19.6917,,,,0.069229,0,0,0,-2.631031,0,-10.184772,1,0
AhJs,AhJc,0.37135,10.1347,,,,0.056715,0,0,0,-5.00494,0,-11.235958,1,0
AhJd,AsJc,0.814233,22.8463,,,,0.064822,0,0,0,-5.663195,0,-10.554989,1,0
AhJc,QcJd,0.803908,22.0352,,,,0.065573,0,0,0,-5.569948,0,-10.491859,1,0
AdJs,QdJd,0.427982,11.9038,,,,0.060193,0,0,0,-4.090393,0,-10.943829,1,0
AdJh,KdJd,0.733369,20.7757,,,,0.068294,0,0,0,-4.548319,0,-10.263306,1,0
AdJc,AcJd,0.73524,20.5331,,,,0.06879,0,0,0,-4.662197,0,-10.221596,1,0
AcJs,AdJd,0.358553,9.6848,,,,0.055562,0,0,0,-4.522129,0,-11.332829,1,0
AcJh,AhJd,0.754262,20.7914,,,,0.064606,0,0,0,-4.881514,0,-10.573074,1,0
AcJd,AsJd,0.762622,21.1865,,,,0.063834,0,0,0,-5.191629,0,-10.637917,1,0
AhTd,QcJh,0.024225,0.70143,,,,0.029505,0,0,0,-5.476568,0,-13.521622,1,0
AhTc,QdJh,0.022189,0.640224,,,,0.030911,0,0,0,-5.443464,0,-13.403496,1,0
AcTh,KhJh,0.012905,0.372153,,,,0.027793,0,0,0,-5.065872,0,-13.665428,1,0
AcTd,AdJh,0.005955,0.170855,,,,0.026354,0,0,0,-4.976946,0,-13.786304,1,0
As7h,AhJh,1,27.281,,,,0.20856,0.723957,0.066754,0,-2.301275,0.476601,1.519,0.523399,0
As7d,AsJh,1,27.281,,,,0.20856,0.724949,0.066846,0,-2.301275,0.477255,1.519,0.522745,0
Ah7s,QcJs,1,29.5358,,,,0.193875,0.282456,0.028017,0,-4.832155,0.989275,0.285519,0.010725,0
Ah7d,QdJs,1,29.5358,,,,0.193875,0.275883,0.027365,0,-4.832155,0.966253,0.285519,0.033747,0
Ad7s,AcJs,1,30.0242,,,,0.192797,0.185385,0.018491,0,-4.070213,0.950934,0.19495,0.049066,0
Ad7h,AdJs,1,30.0242,,,,0.192797,0.177041,0.017659,0,-4.070213,0.908137,0.19495,0.091863,0
Ac7s,AhJs,1,29.2746,,,,0.195363,0.381617,0.037565,0,-4.336342,0.929697,0.410475,0.070303,0
Ac7h,AsJs,1,29.2746,,,,0.195363,0.367538,0.036179,0,-4.336342,0.895397,0.410475,0.104603,0
Ac7d,QdQc,1,29.2746,,,,0.195363,0.363046,0.035737,0,-4.336342,0.884454,0.410475,0.115546,0
KhKd,KcQc,0.04165,1.00574,,,,0.961501,89.1117,1.7823,1,89.1117,0,64.7661,0,0
KhKc,KdQc,0.074668,1.78327,,,,0.961075,88.6688,1.77423,1,88.6688,0,64.7303,0,0
KdKc,KhQc,0.057305,1.39413,,,,0.961787,89.1871,1.78328,1,89.1871,0,64.7901,0,0
KcQc,AcQc,0.0006,0.014915,,,,0.939178,77.6681,1.59035,1,77.6681,0,62.8909,0,0
KhJh,AdQc,1,28.0771,,,,0.254236,5.35584,0.405123,0,3.11498,1,5.35584,0,0
KdJd,AhQc,0.908471,26.0836,,,,0.24868,4.88914,0.378083,0,1.92636,1,4.88914,0,0
KcJc,AsQc,0.999835,27.9697,,,,0.251134,5.09528,0.390174,0,3.16617,1,5.09528,0,0
KhTh,KcQd,1,28.6658,,,,0.221883,2.63817,0.228652,0,0.99963,1,2.63817,0,0
KdTd,KdQd,1,28.9769,,,,0.216373,2.17531,0.193337,0,0.434179,1,2.17531,0,0
KcTc,KhQd,1,28.6311,,,,0.221606,2.61488,0.226917,0,1.06572,1,2.61488,0,0
Kh9h,AcQd,1,29.1024,,,,0.224218,2.83428,0.243091,0,1.64249,1,2.83428,0,0
Kd9d,AdQd,1,29.5581,,,,0.220761,2.54388,0.221601,0,0.962774,1,2.54388,0,0
Kc9c,AhQd,1,29.3131,,,,0.222606,2.69888,0.233155,0,1.53312,1,2.69888,0,0
Kh8h,AsQd,1,29.1024,,,,0.224218,2.83428,0.243091,0,1.64249,1,2.83428,0,0
Kd8d,KdKc,1,29.5583,,,,0.220759,2.54377,0.221593,0,0.962238,1,2.54377,0,0
Kc8c,KhKc,0.999994,29.3137,,,,0.2226,2.69839,0.233118,0,1.53089,1,2.69839,0,0
Kh7h,AcKc,0.486433,14.1564,,,,0.224218,2.83428,0.243091,0,1.64249,1,2.83428,0,0
Kd7d,AdKc,0.388524,11.4841,,,,0.220759,2.54377,0.221593,0,0.962238,1,2.54377,0,0
Kh6h,AhKc,1,29.1024,,,,0.224218,2.83428,0.243091,0,1.64249,1,2.83428,0,0
Kd6d,AsKc,1,29.5583,,,,0.220759,2.54377,0.221593,0,0.962238,1,2.54377,0,0
Kc6c,KhKd,1,29.3139,,,,0.2226,2.69839,0.233118,0,1.53089,1,2.69839,0,0
Kh5h,AcKd,1,28.7986,,,,0.216034,2.14689,0.19111,0,0.94253,1,2.14689,0,0
Kd5d,AdKd,1,29.1186,,,,0.208991,1.55526,0.143111,0,-0.05015,1,1.55526,0,0
Kc5c,AhKd,0.994872,28.6068,,,,0.207468,1.42734,0.132304,0,0.237118,1,1.42734,0,0
KhJs,AsKd,1,26.5395,,,,0.236591,3.87368,0.314863,0,1.26765,1,3.87368,0,0
KhJd,AcKh,0.926137,25.5684,,,,0.246234,4.68367,0.365792,0,1.12685,1,4.68367,0,0
KhJc,AdKh,0.997754,26.9025,,,,0.247867,4.8208,0.374022,0,1.39514,1,4.8208,0,0
KdJs,AhKh,1,26.9955,,,,0.233264,3.59419,0.296312,0,0.520094,1,3.59419,0,0
KdJh,AsKh,0.959108,26.7101,,,,0.244685,4.55352,0.35788,0,0.77228,1,4.55352,0,0
KdJc,AdAc,0.982426,26.9371,,,,0.244403,4.52988,0.356432,0,0.657011,1,4.52988,0,0
KcJs,AhAc,1,26.751,,,,0.23256,3.53505,0.292319,0,1.13932,1,3.53505,0,0
KcJh,AsAc,0.999161,27.5813,,,,0.244104,4.50471,0.354886,0,1.3746,1,4.50471,0,0
KcJd,AhAd,0.966061,26.8749,,,,0.242284,4.35189,0.345421,0,1.00452,1,4.35189,0,0
KhTs,AsAd,1,28.4635,,,,0.219737,2.45543,0.214892,0.007344,2.11703,0.992656,2.45793,0,0
KhTd,AsAh,1,28.521,,,,0.219832,2.46585,0.215712,0,1.11985,1,2.46585,0,0
KhTc,,1,28.4196,,,,0.223255,2.7534,0.237173,0,1.17653,1,2.7534,0,0
KdTs,,1,28.9194,,,,0.216273,2.15697,0.191795,0.013254,1.41428,0.986746,2.16694,0,0
KdTh,,1,29.1217,,,,0.218409,2.34638,0.206597,0,0.31925,1,2.34638,0,0
KdTc,,1,28.8755,,,,0.21973,2.4573,0.215063,0,0.487555,1,2.4573,0,0
KcTs,,1,28.675,,,,0.218117,2.32075,0.204615,0.003231,1.99945,0.996769,2.32179,0,0
KcTh,,1,28.8773,,,,0.220258,2.50167,0.218421,0,0.891052,1,2.50167,0,0
KcTd,,1,28.7325,,,,0.218213,2.32993,0.205333,0,1.00985,1,2.32993,0,0
QdQc,,0.042925,1.06915,,,,0.985382,80.2965,1.56707,1,80.2965,0,66.772,0,0
QdJd,,0.44011,12.4948,,,,0.725407,44.9342,1.19122,0,41.8193,1,44.9342,0,0
QcJc,,0.386004,10.772,,,,0.730934,45.3985,1.19443,0,42.1796,1,45.3985,0,0
QdTd,,0.99988,29.1208,,,,0.705579,43.2687,1.1793,0,37.3046,1,43.2687,0,0
QcTc,,0.999994,29.1226,,,,0.706977,43.3861,1.18016,0,36.5365,1,43.3861,0,0
Qd9d,,0.723687,21.4055,,,,0.86941,62.954,1.3925,1,62.954,0,57.0304,0,0
Qc9c,,0.66473,19.681,,,,0.87088,63.4384,1.40085,1,63.4384,0,57.1539,0,0
Qd8d,,0.677865,20.0501,,,,0.700036,42.8031,1.17585,0,36.8935,1,42.8031,0,0
Qc8c,,0.600691,17.785,,,,0.699346,42.7451,1.17541,0,36.5119,1,42.7451,0,0
Qd7d,,0.799328,23.6428,,,,0.869397,62.9512,1.39246,1,62.9512,0,57.0294,0,0
Qd6d,,0.706853,20.9076,,,,0.700036,42.8031,1.17585,0,36.8935,1,42.8031,0,0
