Hand,OpponentRange,Weight,Combos,CurrentBoard,Player,SelectedActions,Equity,EV,EQR
AsAh,As2s,0.880719,108.295,Ks Qh 7c Qs 9s,oop,Bet 6;Call;Bet 10;Call;Bet 16,0.729432,55.7979,1.12493
AsAd,As3s,0.809838,99.98,,,,0.730153,55.859,1.12505
AhAd,5d5c,0.66353,83.3702,,,,0.704102,53.7407,1.12243
AsAc,5h5c,0.884295,109.044,,,,0.72986,55.8441,1.1252
AhAc,Qc5c,0.684691,85.9189,,,,0.70381,53.7259,1.12259
AdAc,Kc5c,0.656681,82.7465,,,,0.704573,53.7905,1.12272
AhKh,5h5d,0.916372,109.4,,,,0.658659,49.2765,1.1002
AdKd,Qd5d,0.581087,69.9143,,,,0.658279,49.2687,1.10066
AcKc,Kd5d,0.913279,109.782,,,,0.660572,49.4725,1.10137
AdQd,Kh5h,0.165458,20.7902,,,,0.842938,65.8323,1.14851
AcQc,As5s,0.419982,53.1325,,,,0.836702,64.9022,1.14072
AsJs,6d6c,0.624099,76.8008,,,,0.956073,74.9054,1.15216
AhJh,6h6c,0.014985,1.84293,,,,0.021929,15.9839,10.7188
AdJd,6s6c,0.049767,6.16402,,,,0.023622,15.9739,9.94459
AcJc,7d6c,0.003896,0.480582,,,,0.022913,15.9661,10.2475
AsTs,7h6c,0.003995,0.489603,,,,0.955897,74.8659,1.15177
AdTd,7s6c,0.003835,0.479281,,,,0.000284,15.8467,819.397
As8s,Qc6c,0.116116,14.7853,,,,0.955696,74.9818,1.15379
As6s,Kc6c,0.181986,23.4293,,,,0.956181,75.0312,1.15397
As5s,6h6d,0.285966,37.9479,,,,0.957488,75.0642,1.1529
Ah5h,6s6d,0.065657,8.78759,,,,0,16.2132,NaN
Ad5d,7d6d,0.0371,4.96757,,,,0,16.3113,NaN
Ac5c,7h6d,0.216442,28.9142,,,,0,16.2658,NaN
As4s,7s6d,0.908639,120.577,,,,0.957488,75.0645,1.1529
Ah4h,Qd6d,0.270883,36.5276,,,,0,16.0948,NaN
Ad4d,Kd6d,0.09278,12.5754,,,,0,16.1162,NaN
Ac4c,6s6h,0.248717,33.6207,,,,0,16.0762,NaN
