Hand,OpponentRange,Weight,Combos,CurrentBoard,Player,SelectedActions,Equity,EV,EQR,Raise 22 %,Raise 22 EV,Call %,Call EV,Fold %,Fold EV
AsAh,4d4c,1,84.8756,Js 8s 6d,ip,Bet 6,0.795265,32.7342,2.05807,1,32.7342,0,32.2995,0,0
AsAd,4h4c,1,82.838,,,,0.794292,32.967,2.07525,1,32.967,0,32.4634,0,0
AhAd,4s4c,1,90.0769,,,,0.763761,29.2801,1.91684,0.973385,29.2812,0.026615,29.2423,0,0
AsAc,4h4d,1,84.8756,,,,0.795265,32.7342,2.05807,1,32.7342,0,32.2995,0,0
AhAc,4s4d,1,92.0496,,,,0.765293,29.1981,1.90764,0.993719,29.1987,0.006281,29.1068,0,0
AdAc,Ad4d,1,90.0769,,,,0.763761,29.2801,1.91684,0.973385,29.2812,0.026615,29.2423,0,0
AsKs,4s4h,1,82.898,,,,0.615792,20.6557,1.67716,0,19.9095,1,20.6557,0,0
AhKh,As4s,1,90.4468,,,,0.393748,2.47449,0.314222,0,1.43194,1,2.47449,0,0
AdKd,5d5c,1,86.6861,,,,0.412929,4.46454,0.540595,0,2.71773,1,4.46454,0,0
AcKc,5h5c,1,90.4468,,,,0.393748,2.47449,0.314222,0,1.43194,1,2.47449,0,0
AsQs,5s5c,1,81.2259,,,,0.602032,19.7486,1.64016,0,19.5487,1,19.7486,0,0
AhQh,5h5d,1,90.8826,,,,0.360655,0.748377,0.103752,0,0.360028,1,0.748377,0,0
AdQd,5s5d,1,87.5995,,,,0.384674,2.95401,0.383963,0,1.94569,1,2.95401,0,0
AcQc,Ad5d,1,90.8826,,,,0.360655,0.748377,0.103752,0,0.360028,1,0.748377,0,0
AhJh,5s5h,1,91.0318,,,,0.640096,16.3011,1.27333,0.090502,16.3033,0.909497,16.3009,0,0
AdJd,As5s,1,87.9242,,,,0.653601,18.1671,1.38977,0.219896,18.1899,0.780104,18.1606,0,0
AcJc,6h6c,1,91.0318,,,,0.640096,16.3011,1.27333,0.090502,16.3033,0.909497,16.3009,0,0
AsTs,6s6c,1,86.9278,,,,0.574561,19.2582,1.6759,0,18.716,1,19.2582,0,0
AhTh,7c6c,1,94.8081,,,,0.323322,0.000023,0.000004,0,-0.218697,0.002596,0.008968,0.997404,0
AdTd,Ac6c,1,91.6208,,,,0.345926,1.82211,0.263367,0,1.26773,1,1.82211,0,0
AcTc,6s6h,1,94.8081,,,,0.323322,0.000023,0.000004,0,-0.218697,0.002596,0.008968,0.997404,0
As9s,7h6h,1,88.1493,,,,0.563951,18.73,1.6606,0.000277,18.6696,0.999723,18.73,0,0
Ah9h,Ah6h,1,95.6134,,,,0.304315,-0.000013,-0.000002,0.000356,-0.03523,0,-0.229713,0.999644,0
Ad9d,7s6s,1,92.6231,,,,0.326617,1.3496,0.206603,0.009413,1.32819,0.990587,1.3498,0,0
Ac9c,As6s,1,95.6134,,,,0.304315,-0.000013,-0.000002,0.000356,-0.03523,0,-0.229713,0.999644,0
Ah8h,7d7c,1,96.5707,,,,0.470867,5.02752,0.533857,0.082166,5.0825,0.917834,5.0226,0,0
Ad8d,7h7c,1,93.9357,,,,0.490486,7.39091,0.753428,0,6.81195,1,7.39091,0,0
Ac8c,7s7c,1,96.5707,,,,0.470867,5.02752,0.533857,0.082166,5.0825,0.917834,5.0226,0,0
As7s,8c7c,1,90.2585,,,,0.55057,18.3522,1.66665,0.808078,18.3483,0.191922,18.3685,0,0
Ah7h,Ac7c,1,97.8741,,,,0.283817,0,0,0,-0.407104,0,-0.740742,1,0
Ad7d,7h7d,1,95.9603,,,,0.312081,1.05148,0.168463,0.273876,1.07143,0.726124,1.04396,0,0
Ac7c,7s7d,1,97.8741,,,,0.283817,0,0,0,-0.407104,0,-0.740742,1,0
As6s,8d7d,1,89.77,,,,0.645953,23.2578,1.80027,0,22.753,1,23.2578,0,0
Ah6h,Ad7d,1,97.8029,,,,0.428516,3.0351,0.354141,0,2.60175,1,3.0351,0,0
Ac6c,7s7h,1,97.8029,,,,0.428516,3.0351,0.354141,0,2.60175,1,3.0351,0,0
As5s,8h7h,1,91.2154,,,,0.539201,17.7036,1.64165,0.772566,17.73,0.227434,17.6136,0,0
Ah5h,Ah7h,1,98.2767,,,,0.264612,0,0,0,-1.005453,0,-1.154235,1,0
Ad5d,As7s,1,96.4517,,,,0.296082,0.574731,0.097056,0.129184,0.60365,0.870816,0.570441,0,0
Ac5c,8d8c,1,98.2767,,,,0.264612,0,0,0,-1.005453,0,-1.154235,1,0
As4s,8h8c,1,90.5064,,,,0.53169,17.1288,1.61079,0.015647,17.0902,0.984353,17.1294,0,0
Ah4h,9c8c,1,98.0396,,,,0.251701,0,0,0,-1.471987,0,-1.47246,1,0
Ad4d,Kc8c,1,96.1496,,,,0.28401,0.156299,0.027516,0.000224,0.070651,0.969633,0.161178,0.030143,0
Ac4c,Ac8c,1,98.0396,,,,0.251701,0,0,0,-1.471987,0,-1.47246,1,0
As3s,8h8d,1,91.7906,,,,0.52529,16.7821,1.59741,0,16.7398,1,16.7821,0,0
Ah3h,9d8d,1,99.1652,,,,0.241096,0,0,0,-1.488226,0,-1.567818,1,0
Ad3d,Kd8d,1,97.1821,,,,0.274118,0.00506,0.000923,0.087686,-0.009588,0.252714,0.023349,0.6596,0
Ac3c,Ad8d,1,99.1652,,,,0.241096,0,0,0,-1.488226,0,-1.567818,1,0
As2s,9h8h,1,91.7906,,,,0.52529,16.7779,1.59701,0,16.7459,1,16.7779,0,0
Ah2h,Kh8h,1,99.1652,,,,0.241096,0,0,0,-1.489211,0,-1.560725,1,0
Ad2d,Ah8h,1,97.1821,,,,0.274118,0.006006,0.001095,0.082228,-0.011186,0.254523,0.02721,0.663249,0
Ac2c,9d9c,1,99.1652,,,,0.241096,0,0,0,-1.489211,0,-1.560725,1,0
AsKh,9h9c,1,83.3952,,,,0.423539,4.4163,0.521357,0,3.07904,1,4.4163,0,0
AsKd,9s9c,1,81.8351,,,,0.421276,4.44118,0.52711,0,2.8041,1,4.44118,0,0
AsKc,Tc9c,1,83.3952,,,,0.423539,4.4163,0.521357,0,3.07904,1,4.4163,0,0
AhKs,Jc9c,1,90.0503,,,,0.426462,4.36104,0.511306,0,2.91636,1,4.36104,0,0
AhKd,Qc9c,1,88.8764,,,,0.391554,2.44948,0.312789,0,1.10719,1,2.44948,0,0
